Sitemap URL,Link URL,Issue Type,Line in Sitemap,Discovered
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-03-solar-panel-generation-units-tamil-nadu-guide,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-03-net-metering-tamil-nadu-puducherry-guide,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-04-1-phase-to-3-phase-upgrade-solar-tamil-nadu,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/calc,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-08-solar-roi-calculator-break-even-analysis,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-17-understanding-tneb-solar-bill,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-01-how-much-does-residential-solar-installation-cost-in-cuddalore,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-09-solar-scam-warnings-cuddalore,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-18-zero-export-device-guide,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-02-rooftop-solar-structure-types-tamil-nadu,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-20-solar-increases-home-resale-value,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-03-3kw-vs-5kw-solar-system-comparison,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-01-best-solar-panel-brands-tamil-nadu-puducherry,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-15-voltage-fluctuation-hybrid-solar,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-13-solar-earthing-safety-guide,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-16-enphase-micro-inverter-review,Redirect,—,23 Apr 2026 (08:13 UTC)
